Categoria,Subcategoria,Especificacao,Receita (R$),Despesa (R$)
Receitas Correntes,"Impostos, Taxas e Contribuições de Melhoria",Total da Categoria,2170642220.0,
Receitas Correntes,"Impostos, Taxas e Contribuições de Melhoria",IPTU,558500211.0,
Receitas Correntes,"Impostos, Taxas e Contribuições de Melhoria",ISSQN,994682735.0,
Receitas Correntes,"Impostos, Taxas e Contribuições de Melhoria",ITBI,183074670.0,
Receitas Correntes,"Impostos, Taxas e Contribuições de Melhoria",IRRF,206297845.0,
Receitas Correntes,"Impostos, Taxas e Contribuições de Melhoria","Outros Impostos, Taxas e Contribuições de Melhoria",228086759.0,
Receitas Correntes,Contribuições,Total da Categoria,188750098.0,
Receitas Correntes,Receita Patrimonial,Total da Categoria,120967731.0,
Receitas Correntes,Receita de Serviços,Total da Categoria,1715287.0,
Receitas Correntes,Transferências Correntes,Total da Categoria,1519498970.0,
Receitas Correntes,Transferências Correntes,Cota-Parte do FPM,328183364.0,
Receitas Correntes,Transferências Correntes,Cota-Parte do ICMS,275813540.0,
Receitas Correntes,Transferências Correntes,Cota-Parte do IPVA,220263224.0,
Receitas Correntes,Transferências Correntes,Cota-Parte do ITR,452585.0,
Receitas Correntes,Transferências Correntes,Transferências da LC 61/1989 - IPI,2881410.0,
Receitas Correntes,Transferências Correntes,Transferências do FUNDEB,408020050.0,
Receitas Correntes,Transferências Correntes,Outras Transferências Correntes,283884797.0,
Receitas Correntes,Outras Receitas Correntes,Total da Categoria,14130498.0,
Deduções da Receita Corrente,Deduções (II),Total Deduções,-273303424.0,
Deduções da Receita Corrente,Deduções (II),Contrib. do Servidor para o Plano de Previdência,-112869088.0,
Deduções da Receita Corrente,Deduções (II),Compensação Financ. entre Regimes Previdência,-964146.0,
Deduções da Receita Corrente,Deduções (II),Rendimentos de Aplicações - Previdência,-147439.0,
Deduções da Receita Corrente,Deduções (II),Dedução para Formação do FUNDEB,-159322751.0,
Receitas Correntes Líquidas,Receita Corrente Líquida (III),Total (I - II),3901724131.0,
Receitas de Capital,Transferências de Capital,Total da Categoria,16939780.0,
Receitas de Capital,Outras Receitas de Capital,Total da Categoria,36000000.0,
Receitas de Capital,Total Receitas de Capital,Total,52939780.0,
Receitas Intra-Orçamentárias,Receitas Correntes Intra-Orçamentárias,Receitas de Contribuição Intra-Orçamentária,201562355.0,
Receitas Intra-Orçamentárias,Total Receitas Intra-Orçamentárias,Total,201562355.0,
Despesas Correntes,Pessoal e Encargos Sociais,Total da Categoria,,2091148171.0
Despesas Correntes,Juros e Encargos da Dívida,Total da Categoria,,130556349.0
Despesas Correntes,Outras Despesas Correntes,Total da Categoria,,1363857903.63
Despesas Correntes,Total Despesas Correntes,Total (Excl. Intra),,3585562423.63
Despesas de Capital,Total Despesas de Capital,Total (Excl. Intra),,448714159.37
Reserva de Contingência,Reserva de Contingência,Total,,19416154.0
Despesas Intra-Orçamentárias,Despesas Correntes Intra-Orçamentárias,Pessoal e Encargos Sociais Intra-Orçamentária,,210479202.0
Despesas Intra-Orçamentárias,Despesas Correntes Intra-Orçamentárias,Juros e Encargos da Dívida Intra-Orçamentária,,35000.0
Despesas Intra-Orçamentárias,Despesas Correntes Intra-Orçamentárias,Outras Despesas Correntes Intra-Orçamentárias,,6000000.0
Despesas Intra-Orçamentárias,Total Despesas Intra-Orçamentárias,Total,,216514202.0
TOTAIS GERAIS CONSOLIDADOS,TOTAL GERAL,Receita Total / Despesa Total,4270206939.0,4270206939.0
